modelo,conjunto,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro
DecisionTree,validation,0.5838192419825073,0.6164741263882075,0.48543377618458533,0.6164741263882075,0.4259741798337143
RandomForest,validation,0.6874797538062845,0.59833525460138,0.48720554904951724,0.59833525460138,0.4619287872951799
LogisticRegression,validation,0.8224003887269193,0.5279596197019245,0.4626541601528574,0.5279596197019245,0.48134244563404566
KNN,validation,0.8568999028182702,0.4831907240313141,0.4787070240729567,0.4831907240313141,0.48092630401587794
XGBoost,validation,0.8663751214771623,0.4722935982138479,0.4905931328187898,0.4722935982138479,0.4802706465607038
Dummy,validation,0.8497732426303855,0.3333333333333333,0.28325774754346184,0.3333333333333333,0.30626213096332616
