organism,filas_validas_binarias,susceptible,resistant,antibioticos_unicos,cultivos_unicos,pct_susceptible,pct_resistant
BURKHOLDERIA CEPACIA COMPLEX GENOMOVAR I,82,62,20,6,3,75.60975609756098,24.390243902439025
NOCARDIA CYRIACIGEORGICA,82,59,23,12,1,71.95121951219512,28.04878048780488
STREPTOCOCCUS DYSGALACTIAE SUBSP. EQUISIMILIS (GROUP C/G STR],81,70,11,7,2,86.41975308641975,13.580246913580247
STREPTOCOCCUS MUTANS GROUP,80,79,1,7,1,98.75,1.25
STREPTOCOCCUS SANGUINIS,79,74,5,6,1,93.67088607594937,6.329113924050633
SALMONELLA SPECIES,77,67,10,8,2,87.01298701298701,12.987012987012985
NON-FERMENTING GRAM NEGATIVE RODS - NOT P.AERUGINOSA,77,48,29,13,3,62.33766233766234,37.66233766233766
ELIZABETHKINGIA MENINGOSEPTICA,75,22,53,13,2,29.333333333333332,70.66666666666667
ZZAEROMONAS VERONII COMPLEX,75,69,6,16,1,92.0,8.0
BACILLUS SPECIES,74,58,16,5,1,78.37837837837837,21.62162162162162
STAPHYLOCOCCUS EPIDERMIDIS,73,36,37,12,2,49.31506849315068,50.68493150684932
VIRIDANS GROUP STREPTOCOCCI NOT S. PNEUMONIAE,72,57,15,7,3,79.16666666666666,20.833333333333336
MYCOBACTERIUM IMMUNOGENUM,71,23,48,10,1,32.3943661971831,67.6056338028169
ESCHERICHIA SPECIES,69,57,12,24,2,82.6086956521739,17.391304347826086
RALSTONIA SPECIES,69,36,33,12,2,52.17391304347826,47.82608695652174
OCHROBACTRUM,68,46,22,12,2,67.64705882352942,32.35294117647059
ZZZCITROBACTER FARMERI,66,58,8,14,1,87.87878787878788,12.121212121212121
NON LACTOSE FERMENTING GRAM NEGATIVE RODS,62,55,7,24,2,88.70967741935483,11.29032258064516
AEROMONAS HYDROPHILA GROUP,61,52,9,17,1,85.24590163934425,14.754098360655737
ENTEROBACTER ASBURIAE,61,42,19,14,1,68.85245901639344,31.147540983606557
STREPTOCOCCUS SANGUIS,60,52,8,5,1,86.66666666666667,13.333333333333334
FUSOBACTERIUM SPECIES,59,57,2,5,1,96.61016949152543,3.389830508474576
PREVOTELLA SPECIES,59,46,13,5,1,77.96610169491525,22.033898305084744
NOCARDIA NOVA,57,40,17,11,2,70.17543859649122,29.82456140350877
RHIZOBIUM RADIOBACTER,57,51,6,19,2,89.47368421052632,10.526315789473683
SPHINGOMONAS,56,49,7,12,3,87.5,12.5
STREPTOCOCCUS BOVIS,56,47,9,6,2,83.92857142857143,16.071428571428573
BURKHOLDERIA VIETNAMIENSIS,54,32,22,5,1,59.25925925925925,40.74074074074074
PSEUDOMONAS STUTZERI,53,47,6,11,1,88.67924528301887,11.320754716981133
STREPTOCOCCUS ANGINOSUS,53,51,2,5,2,96.22641509433963,3.7735849056603774
GRAM NEGATIVE RODS,52,46,6,22,2,88.46153846153845,11.538461538461538
HAFNIA,51,34,17,14,1,66.66666666666666,33.33333333333333
ENTERIC GRAM NEGATIVE RODS,48,44,4,24,1,91.66666666666666,8.333333333333332
CORYNEBAC. STRIATUM/AMYCOLATUM,46,20,26,6,3,43.47826086956522,56.52173913043478
BORDETELLA BRONCHISEPTICA,45,34,11,11,1,75.55555555555556,24.444444444444443
"CLOSTRIDIUM SPECIES, NOT PERFRINGENS",44,43,1,5,1,97.72727272727273,2.272727272727273
ENTEROBACTER CANCEROGENUS,44,37,7,22,2,84.0909090909091,15.909090909090908
ZZAEROMONAS HYDROPHILA COMPLEX,41,40,1,14,3,97.5609756097561,2.4390243902439024
MYCOBACTERIUM SPECIES - RAPID GROWER,41,33,8,11,2,80.48780487804879,19.51219512195122
LECLERCIA ADECARBOXYLATA,40,40,0,21,2,100.0,0.0
BACTEROIDES VULGATUS,38,32,6,4,1,84.21052631578947,15.789473684210526
ABIOTROPHIA SPECIES (OR GRANULICATELLA SPECIES),38,29,9,11,2,76.31578947368422,23.684210526315788
CHRYSEOBACTERIUM SPECIES,38,15,23,12,1,39.473684210526315,60.526315789473685
LISTERIA MONOCYTOGENES,38,38,0,3,1,100.0,0.0
STAPH NEG NOT LUGDUNENSIS,37,23,14,11,1,62.16216216216216,37.83783783783784
OCHROBACTRUM ANTHROPI,37,24,13,13,2,64.86486486486487,35.13513513513514
NOCARDIA FARCINICA,37,31,6,10,2,83.78378378378379,16.216216216216218
CLOSTRIDIUM RAMOSUM,36,30,6,5,1,83.33333333333334,16.666666666666664
BETA STREPTOCOCCUS SPECIES,36,32,4,7,1,88.88888888888889,11.11111111111111
BURKHOLDERIA CEPACIA COMPLEX,34,29,5,14,3,85.29411764705883,14.705882352941178
AEROMONAS VERONII,33,25,8,13,1,75.75757575757575,24.242424242424242
KLEBSIELLA PNEUMONIAE SSP. OZAENAE,33,26,7,14,1,78.78787878787878,21.21212121212121
FLAVOBACTERIUM SPECIES,31,10,21,13,2,32.25806451612903,67.74193548387096
BREVUNDIMONAS,31,19,12,12,3,61.29032258064516,38.70967741935484
STREPTOCOCCUS ORALIS,31,29,2,6,1,93.54838709677419,6.451612903225806
SCHISTOSOMA HAEMATOBIUM OVA,31,30,1,4,1,96.7741935483871,3.225806451612903
YERSINIA ENTEROCOLITICA,30,23,7,20,1,76.66666666666667,23.333333333333332
ENTEROCOCCUS DURANS/HIRAE,30,30,0,9,2,100.0,0.0
PSEUDOMONAS ORYZIHABITANS,30,28,2,11,2,93.33333333333333,6.666666666666667
SERRATIA MARCESCENS (CARBAPENEM RESISTANT),30,18,12,17,2,60.0,40.0
RAHNELLA,29,24,5,19,1,82.75862068965517,17.24137931034483
SPHINGOBACTERIUM MULTIVORUM,29,11,18,13,1,37.93103448275862,62.06896551724138
FUSOBACTERIUM NECROPHORUM,29,29,0,5,1,100.0,0.0
BACTEROIDES SPECIES,29,27,2,5,1,93.10344827586206,6.896551724137931
CAMPYLOBACTER SPECIES,29,21,8,3,1,72.41379310344827,27.586206896551722
CLOSTRIDIUM SPECIES,29,23,6,5,1,79.3103448275862,20.689655172413794
LACTOBACILLUS RHAMNOSUS,28,21,7,4,1,75.0,25.0
ZZAEROMONAS CAVIAE COMPLEX,28,28,0,14,1,100.0,0.0
CORYNEBACTERIUM JEIKEIUM,28,16,12,6,2,57.14285714285714,42.857142857142854
CLOSTRIDIUM TERTIUM,27,19,8,6,1,70.37037037037037,29.629629629629626
BETA STREPTOCOCCUS GROUP C,27,23,4,4,2,85.18518518518519,14.814814814814813
ESCHERICHIA VULNERIS,26,26,0,13,1,100.0,0.0
"GRAM NEGATIVE RODS - NONFERM, UNIDENTIFIED",26,21,5,9,1,80.76923076923077,19.230769230769234
SPHINGOMONAS PAUCIMOBILIS/PARAPAUCIMOBILIS,26,20,6,12,2,76.92307692307693,23.076923076923077
STAPHYLOCOCCUS SAPROPHYTICUS,25,22,3,16,1,88.0,12.0
CLOSTRIDIUM SORDELLII,25,25,0,5,1,100.0,0.0
NOCARDIA TRANSVALENSIS COMPLEX,25,18,7,10,1,72.0,28.000000000000004
ALCALIGENES SPECIES,24,13,11,12,2,54.166666666666664,45.83333333333333
RALSTONIA MANNITOLILYTICA,23,8,15,13,1,34.78260869565217,65.21739130434783
LACTOBACILLUS SPECIES,23,19,4,5,2,82.6086956521739,17.391304347826086
CLOSTRIDIUM INNOCUUM,22,20,2,5,1,90.9090909090909,9.090909090909092
CHRYSEOMONAS LUTEOLA,22,21,1,9,2,95.45454545454545,4.545454545454546
AEROMONAS CAVIAE,22,20,2,14,2,90.9090909090909,9.090909090909092
KLUYVERA ASCORBATA,22,20,2,17,2,90.9090909090909,9.090909090909092
PEPTOSTREPTOCOCCUS SPECIES,21,19,2,5,1,90.47619047619048,9.523809523809524
"STREPTOCOCCUS GALLOLYTICUS, SUBSP. PASTEURIANUS",21,17,4,5,1,80.95238095238095,19.047619047619047
BACTEROIDES UNIFORMIS,20,15,5,5,1,75.0,25.0
SPHINGOBACTERIUM SPIRITIVORUM,18,10,8,11,1,55.55555555555556,44.44444444444444
SALMONELLA TYPHI,17,15,2,5,1,88.23529411764706,11.76470588235294
MYCOBACTERIUM FORTUITUM,17,8,9,10,1,47.05882352941176,52.94117647058824
MYCOBACTERIUM SPECIES,17,16,1,11,1,94.11764705882352,5.88235294117647
ESCHERICHIA FERGUSONII,16,16,0,16,1,100.0,0.0
ANAEROBIC GRAM POSITIVE RODS,16,12,4,5,1,75.0,25.0
PROVIDENCIA SPECIES,16,12,4,16,1,75.0,25.0
HAFNIA ALVEI (CARBAPENEM RESISTANT),16,9,7,16,1,56.25,43.75
ENTEROBACTER AMNIGENUS 1,15,15,0,15,1,100.0,0.0
"CORYNEBACTERIUM SPECIES, NOT C. UREALYTICUM",15,6,9,4,1,40.0,60.0
CORYNEBACTERIUM AMYCOLATUM,15,7,8,6,2,46.666666666666664,53.333333333333336
SHIGELLA SPECIES,15,12,3,15,1,80.0,20.0
CLOSTRIDIUM CLOSTRIDIOFORME,14,13,1,6,1,92.85714285714286,7.142857142857142
