,hosp_ward_IP,hosp_ward_OP,hosp_ward_ER,hosp_ward_ICU,adi_score,adi_state_rank,median_heartrate,median_resprate,median_temp,median_sysbp,median_diasbp,median_wbc,median_neutrophils,median_lymphocytes,median_bun,median_cr,median_lactate,median_procalcitonin,missing_adi_score,missing_adi_state_rank,missing_median_temp,missing_median_heartrate,missing_median_resprate,missing_median_sysbp,missing_median_diasbp,missing_median_wbc,missing_median_cr,missing_median_bun,missing_median_lactate,missing_median_procalcitonin,missing_median_neutrophils,missing_median_lymphocytes,exp_prev_aminoglycoside,exp_prev_ansamycin,exp_prev_antitubercular,exp_prev_beta_lactam,exp_prev_combination_antibiotic,exp_prev_fluoroquinolone,exp_prev_folate_synthesis_inhibitor,exp_prev_fosfomycin,exp_prev_glycopeptide,exp_prev_macrolide_lincosamide,exp_prev_monobactam,exp_prev_nitrofuran,exp_prev_nitroimidazole,exp_prev_oxazolidinone,exp_prev_polymyxin_lipopeptide,exp_prev_sulfonamide,exp_prev_tetracycline,exp_prev_urinary_antiseptic,comorb_chronic_pulmonary_any,comorb_congestive_heart_failure,comorb_diabetes_any,comorb_organ_transplant_status,comorb_pancreatic_disorder,comorb_renal_failure,comorb_sinusitis,comorb_solid_tumor_non_metastatic,susceptibility_binaria
hosp_ward_IP,1.0,-0.8998119544402851,0.6127236071633223,0.2150478880583134,0.06524622484406753,0.08402355838921616,0.133018915602014,0.12437730610120232,0.13030886903855954,0.0178497789298259,-0.020105226115806618,0.07638042831879635,0.012249340866095906,-0.09869280077876937,0.04751798919040411,0.05122380910900575,0.007267927279286492,0.005118118746275033,,,-0.4434726913408157,-0.4434726913408157,-0.4434726913408157,-0.4434726913408157,-0.4434726913408157,-0.6117883718596043,-0.6117883718596043,-0.6117883718596043,-0.6117883718596043,-0.6117883718596043,-0.6117883718596043,-0.6117883718596043,-0.0217499703354384,0.02275337231571767,-0.020040093985215845,0.02041617815680978,-0.03715081514815473,-0.029399201865122036,-0.021978716359072663,-0.029171244035196532,0.09708457951445822,-0.08267688010731342,0.018830585687386145,-0.11115956704306885,0.06544354460614775,0.028542568421771726,-0.06095157217759649,0.0254787773603301,-0.029074029134081837,-0.05154312739605549,-0.004834175174450462,0.060256436470786774,0.08049169036124955,0.06626088983333935,,0.12947988869432117,-0.23391546251888562,0.07673878149653365,0.04861036521356707
hosp_ward_OP,-0.8998119544402851,1.0,-0.5513360264933378,-0.19347708763472127,-0.047416382244054714,-0.062067467674588817,-0.13160002102519114,-0.12370538475105393,-0.12930871345918152,-0.01759223216413048,0.02071809474992366,-0.07448897834234666,-0.006989516213530514,0.09660385257951132,-0.048362275044438706,-0.04948140720286126,-0.007267927279286544,-0.005118118746275116,,,0.28438551209543483,0.28438551209543483,0.28438551209543483,0.28438551209543483,0.28438551209543483,0.531437706007942,0.531437706007942,0.531437706007942,0.531437706007942,0.531437706007942,0.531437706007942,0.531437706007942,0.04037893901592798,-0.009058954508717324,0.02839164451904443,0.049057622179065126,0.08182943129301258,0.08497138444815418,0.029885663676553452,0.04465611515435893,-0.06820607724333592,0.11388248930246457,-0.007449978414476506,0.1547329634621146,-0.034006145054777344,-0.007950336960199587,0.06979852258714307,-0.01460471105393665,0.05024338366005633,0.06346063507689012,0.02652880336791488,-0.05999353207701997,-0.03198931759393956,-0.039366466614905886,,-0.0886258766412345,0.10365077997036228,-0.0463573829675387,-0.020819899172926724
hosp_ward_ER,0.6127236071633223,-0.5513360264933378,1.0,0.12963321070256065,-0.06695121534523968,-0.06047306581276637,0.10089381806490046,0.12760812714326966,0.16624219492975328,0.07293649676379309,0.014180381591213197,0.04908207563091974,-0.015234971177244703,0.01283919207154984,0.03186309756770022,0.028846839918060318,-0.12390719944050879,0.05790494860181408,,,-0.4053597405477589,-0.4053597405477589,-0.4053597405477589,-0.4053597405477589,-0.4053597405477589,-0.5539332768402443,-0.5539332768402443,-0.5539332768402443,-0.5539332768402443,-0.5539332768402443,-0.5539332768402443,-0.5539332768402443,-0.04816550322401338,0.00839737938530607,-0.045449692788782144,0.004938610455606509,-0.04938618165624745,-0.027873994651030434,-0.014658368971754317,-0.006154207925488779,0.06786179077466728,-0.07191245561943353,-0.025711939177379208,-0.03893685331498335,0.06406671653309101,-0.024206182932713535,-0.07402975412882508,0.023080795111811356,0.01632589938587352,-0.019916382157365815,-0.05676307664734617,0.04904441697499899,0.05021411086405573,-0.0643088077668141,,0.12331656887583092,-0.2467623345451585,0.02390222810346809,-0.0057978372578987815
hosp_ward_ICU,0.2150478880583134,-0.19347708763472127,0.12963321070256065,1.0,0.06989815260089484,0.07933598134322367,0.12298014194640924,0.18466302864630227,0.08689135086206624,-0.11200138530816657,-0.07994282346857791,0.09373979586303545,0.09933096357294177,-0.15691393109741109,0.14186904974795791,0.07200183860746685,0.23569483472763808,0.10102707964192872,,,-0.14250078587316742,-0.14250078587316742,-0.14250078587316742,-0.14250078587316742,-0.14250078587316742,-0.2449129777694555,-0.2449129777694555,-0.2449129777694555,-0.2449129777694555,-0.2449129777694555,-0.2449129777694555,-0.2449129777694555,0.02252308150828477,0.03023716156127787,-0.011867129178165682,0.01470302848811689,-0.03499001704114353,-0.047027029113318394,-0.0120319895673578,-0.02371213535287695,0.12668883099824205,-0.05709795874177161,-0.017461169457017322,-0.07713258890460391,0.032343999521985106,0.0023945865856379264,-0.022027683568075586,0.02275425814247947,-0.008991190278033839,-0.017326100706697357,0.013017188976445703,0.07899997854825658,0.02786860258092375,0.036813805595294034,,0.12390356053555372,-0.10001474504471777,0.012008744053011243,-0.02721192738650681
adi_score,0.06524622484406753,-0.047416382244054714,-0.06695121534523968,0.06989815260089484,1.0,0.9250541679497633,0.053326205900329764,-0.022779532945557818,-0.022211578564818726,-0.03642385242728774,0.02198573137683897,-0.015421761422150298,0.06206852576216876,-0.07315701893244556,-0.02050678540280436,0.0012876722530104935,0.0024494400653716237,-0.03596849317996347,,,-0.08961232350769364,-0.08961232350769364,-0.08961232350769364,-0.08961232350769364,-0.08961232350769364,-0.05907377096721464,-0.05907377096721464,-0.05907377096721464,-0.05907377096721464,-0.05907377096721464,-0.05907377096721464,-0.05907377096721464,0.02062095254121558,0.0016633973533311983,-0.011547176679150499,-0.021126912698311403,-0.007747203809720234,-0.04024088674374917,0.029110744676151344,-0.006188622843967827,0.03201739111491646,-0.05269157872116538,0.007013331342485301,-0.09501116355186082,0.009865261984967004,0.04849393833945565,0.05604139697065598,0.0032480060879447143,-0.052468784175692805,-0.03886990126110973,0.0427746826049736,-0.01961538457613863,0.04009567465287032,0.09323588880772701,,0.007284440002282531,-0.0012372300703750055,0.02883684592542111,0.022823018261728455
adi_state_rank,0.08402355838921616,-0.062067467674588817,-0.06047306581276637,0.07933598134322367,0.9250541679497633,1.0,0.06570601184236323,-0.02769481492574522,-0.023774759338455374,-0.04664122089088212,0.02356074850902101,-0.01819291182914777,0.06409896542733805,-0.06584435509804944,-0.0272052673695759,0.0056582229973810025,0.004886739746291946,-0.052409868404385385,,,-0.11407848247393339,-0.11407848247393339,-0.11407848247393339,-0.11407848247393339,-0.11407848247393339,-0.07675224906841217,-0.07675224906841217,-0.07675224906841217,-0.07675224906841217,-0.07675224906841217,-0.07675224906841217,-0.07675224906841217,0.02274532577953115,0.005037494509289056,-0.014667665888194754,-0.020114086441314384,-0.005108415049802664,-0.042354463014968945,0.02817395197792826,-0.010695134230472306,0.04080306636264405,-0.062287586899806055,0.014962421276924506,-0.10583993748778561,0.013448074866677064,0.05501837894462159,0.05340330550285092,0.009039859436106875,-0.05711604479182419,-0.04514838867162601,0.039077699212930826,-0.019917833166560376,0.0540763112865381,0.11044138497240598,,0.01920404250199814,-0.011390608341172042,0.03092584983390507,0.022384796981843636
median_heartrate,0.133018915602014,-0.13160002102519114,0.10089381806490046,0.12298014194640924,0.053326205900329764,0.06570601184236323,1.0,0.3384650504478509,0.3430844616340717,-0.09794515124544949,0.15974903164199727,0.13988919601080207,0.07228315716707963,-0.03698275484444228,-0.027274443312969566,0.003648897767570202,0.15946145606678416,0.13760093703227214,,,,,,,,-0.1265773237768294,-0.1265773237768294,-0.1265773237768294,-0.1265773237768294,-0.1265773237768294,-0.1265773237768294,-0.1265773237768294,-0.008871268557825825,0.025604209011691786,-0.006836781558134666,-0.0015441417068797379,0.007197127267304932,0.0002358260275010908,-0.007881502214507105,-0.04719386697097251,0.044772033410516505,0.018638667334405872,0.043549198047356436,-0.09561153844862644,0.042195869263914935,0.060881178257300717,0.06868311373180766,0.02869837578100833,0.0007680095794507665,-0.04902398036718743,0.06107402671603834,0.04983218099572299,0.04995109914557105,0.055991219799137605,,-0.0405595255949757,0.026698836059621076,0.02766596037692076,0.023217706532715536
median_resprate,0.12437730610120232,-0.12370538475105393,0.12760812714326966,0.18466302864630227,-0.022779532945557818,-0.02769481492574522,0.3384650504478509,1.0,0.26049890897289185,-0.023244899798946582,0.02162755134708367,0.12139856292580985,0.07210949190625333,-0.08296323575212203,0.13368964386284254,0.06886178420920808,0.185988752652458,0.056589838300854754,,,,,,,,-0.15379181012385537,-0.15379181012385537,-0.15379181012385537,-0.15379181012385537,-0.15379181012385537,-0.15379181012385537,-0.15379181012385537,-0.021778571047868397,-0.007581263773602922,-0.025483872538230812,-0.013552134377365403,-0.03621503272073573,-0.006198425318320801,-0.005780371109395273,-0.03434962436495635,0.02831753730008279,-0.0011874132009473384,0.0019224089699008118,-0.06179421730644434,0.009144445345315845,0.003465121524938605,-0.022002225037069327,0.0027478540662728176,-0.009254863849103602,-0.03466609268784941,0.039237797858789766,0.045646232004027606,0.03342772343828531,0.0026888116463413634,,0.047140069694364344,-0.03570516378237082,-0.02156084136038912,0.005806505110455101
median_temp,0.13030886903855954,-0.12930871345918152,0.16624219492975328,0.08689135086206624,-0.022211578564818726,-0.023774759338455374,0.3430844616340717,0.26049890897289185,1.0,-0.009531702029454097,-0.008154321790678322,0.08966502831198266,0.07370557326654475,0.004370825015734044,-0.03174906479089841,0.04531886920278563,-0.013377560062052473,0.12351306044693601,,,,,,,,-0.14667882632996687,-0.14667882632996687,-0.14667882632996687,-0.14667882632996687,-0.14667882632996687,-0.14667882632996687,-0.14667882632996687,-0.042666531433755324,0.009561930076292502,-0.016211956389335605,-0.04184456238556365,-0.05222262544580466,-0.03520966260328255,-0.0053707443818127535,-0.028774743436076458,-0.003782587632762485,-0.05591152180538614,-0.006916472361721838,-0.0662916386502559,0.0035078783640687407,-0.006869274646369766,-0.012821749244940362,0.010891172406498036,-0.02632214875302676,-0.02816598855761397,-0.050975981436628674,0.0004739547012594096,-0.008419552932746566,-0.021631335564644815,,-0.0026364247189807725,-0.04900886028146289,-0.009010273340244013,0.0017258508396304155
median_sysbp,0.0178497789298259,-0.01759223216413048,0.07293649676379309,-0.11200138530816657,-0.03642385242728774,-0.04664122089088212,-0.09794515124544949,-0.023244899798946582,-0.009531702029454097,1.0,0.4760783092750874,-0.0581733502530518,-0.019423560303697157,0.06271938755071815,-0.07509709871252858,-0.02085314751938393,-0.15282570194073045,-0.15633054779279076,,,,,,,,-0.01489159622453881,-0.01489159622453881,-0.01489159622453881,-0.01489159622453881,-0.01489159622453881,-0.01489159622453881,-0.01489159622453881,-0.025645399234819687,-0.058875195045302454,-0.005742882607733415,0.005029647738103809,0.0030497851824545234,0.01095486250842351,0.005151095065150809,0.046410077000617854,-0.04337102028355327,-0.021946717901941498,-0.021249695503639282,0.06329542419989136,-0.015121586797022635,-0.04946687529716617,-0.042084662877968616,-0.011375867216157494,-0.01758570772523823,0.040338523947507234,-0.04906629336288043,0.015269793868821784,0.044549004777517345,-0.023901135657749473,,0.058016352634222154,-0.032146655192704064,-0.002949654253427751,-0.010232563126179199
