organism,filas_validas_binarias,susceptible,resistant,antibioticos_unicos,cultivos_unicos,pct_susceptible,pct_resistant
ESCHERICHIA COLI,852148,729553,122595,37,3,85.61341457117778,14.386585428822224
KLEBSIELLA PNEUMONIAE,145086,124462,20624,36,3,85.78498269991591,14.215017300084087
STAPHYLOCOCCUS AUREUS,81742,63876,17866,23,3,78.14342687969464,21.85657312030535
PROTEUS MIRABILIS,66796,55065,11731,34,3,82.43757111204263,17.562428887957363
ENTEROCOCCUS SPECIES,62766,50524,12242,17,2,80.49580983334927,19.504190166650734
PSEUDOMONAS AERUGINOSA,45480,40020,5460,26,3,87.99472295514512,12.005277044854882
