variable,vif
median_temp,154.8161268453681
median_sysbp,76.6970913590655
median_resprate,68.8763361633593
median_diasbp,64.01780039039926
median_heartrate,40.415558893923794
adi_state_rank,17.058764622558638
adi_score,9.53548304802782
median_bun,7.142468457647638
median_cr,4.951051965947652
median_wbc,3.439663998046772
